Structure Number,Structure Name,Asset Class,Structure Type,Inventory Date,Road No.,km,Municipality,Maintenance Region,Magisterial District,Analysis Date,Inspection Item,Activity,Position,Qty Budget,Unit Cost,Unit,Cost,U,Adj. U,RMax2,B/C,WorkYear
B0438,BRIDGE OVER SKILPADSKOP RIVER,Bridge,Bridge,11/13/2019,DR02370,16.79,Beaufort West,Central Karoo,Central Karoo,6/30/2022,03. Waterway, 151. Backfill scour damage (earth),S1,6.00,1010.00,m3,6060.00,1,1,1,17.00,2
B0438,BRIDGE OVER SKILPADSKOP RIVER,Bridge,Bridge,11/13/2019,DR02370,16.79,Beaufort West,Central Karoo,Central Karoo,6/30/2022,21. Miscellaneous Items, 620. Install structure number plate,S1,2.00,5700.00,No,11400.00,1,1,1,9.00,3
B0443,BRIDGE OVER HANS RIVER,Bridge,Bridge,11/13/2019,DR02307,8.59,Beaufort West,Central Karoo,Central Karoo,6/30/2022,03. Waterway, 404. Remove trees (girth < 500 mm),AS,20.00,790.00,No,15800.00,1,1,9,57.00,1
B0443,BRIDGE OVER HANS RIVER,Bridge,Bridge,11/13/2019,DR02307,8.59,Beaufort West,Central Karoo,Central Karoo,6/30/2022,07. Wing/ Retaining Walls, 120. Seal cracks,BU,4.00,790.00,m,3160.00,2,4,9,285.00,1
B0443,BRIDGE OVER HANS RIVER,Bridge,Bridge,11/13/2019,DR02307,8.59,Beaufort West,Central Karoo,Central Karoo,6/30/2022,11. Parapet, 118. Repair spall (including honeycombing),AS,4.00,790.00,L,3160.00,2,4,9,285.00,1
B0443,BRIDGE OVER HANS RIVER,Bridge,Bridge,11/13/2019,DR02307,8.59,Beaufort West,Central Karoo,Central Karoo,6/30/2022,11. Parapet, 465. Repair/replace handrail posts,AS,4.00,1660.00,No,6640.00,3,4,9,136.00,1
B0443,BRIDGE OVER HANS RIVER,Bridge,Bridge,11/13/2019,DR02307,8.59,Beaufort West,Central Karoo,Central Karoo,6/30/2022,14. Piers & Columns, 120. Seal cracks,AP,3.00,790.00,m,2370.00,2,4,1,42.00,1
B0443,BRIDGE OVER HANS RIVER,Bridge,Bridge,11/13/2019,DR02307,8.59,Beaufort West,Central Karoo,Central Karoo,6/30/2022,17. Expansion Joints, 313. Repair concrete nosing,"BU,AP",53.90,3280.00,m,176792.00,2,4,9,5.00,3
B0443,BRIDGE OVER HANS RIVER,Bridge,Bridge,11/13/2019,DR02307,8.59,Beaufort West,Central Karoo,Central Karoo,6/30/2022,20. Decks and Slabs, 118. Repair spall (including honeycombing),AS,2.00,790.00,L,1580.00,3,4,9,570.00,1
B0473,DONGASKLOOF RIVER,Bridge,Bridge,11/20/2019,DR01688,19.53,Kannaland,,Garden Route (Eden),6/30/2022,06. Abutments, 120. Seal cracks,BU,10.00,790.00,m,7900.00,2,4,4,51.00,1
B0473,DONGASKLOOF RIVER,Bridge,Bridge,11/20/2019,DR01688,19.53,Kannaland,,Garden Route (Eden),6/30/2022,09. Superstructure Drainage, 208. Clear scuppers,S1,4.00,360.00,No,1440.00,2,4,1,69.00,1
B0473,DONGASKLOOF RIVER,Bridge,Bridge,11/20/2019,DR01688,19.53,Kannaland,,Garden Route (Eden),6/30/2022,07. Wing/ Retaining Walls, 120. Seal cracks,U1,2.00,790.00,m,1580.00,2,4,1,63.00,1
B0473,DONGASKLOOF RIVER,Bridge,Bridge,11/20/2019,DR01688,19.53,Kannaland,,Garden Route (Eden),6/30/2022,03. Waterway, 207. Clear debris,S1,4.00,790.00,m3,3160.00,3,4,1,32.00,1
B0473,DONGASKLOOF RIVER,Bridge,Bridge,11/20/2019,DR01688,19.53,Kannaland,,Garden Route (Eden),6/30/2022,02. Guardrail, 455. New guardrail (single and double),BU,80.00,1010.00,m,80800.00,3,4,4,5.00,3
B0473,DONGASKLOOF RIVER,Bridge,Bridge,11/20/2019,DR01688,19.53,Kannaland,,Garden Route (Eden),6/30/2022,04. Approach Embankment Protection Works, 156. Gabion (mattresses and boxes),BU,20.00,3280.00,m3,65600.00,4,4,4,6.00,3
B0477,OLIFANTS RIVER CAUSEWAY,Bridge,Bridge,11/6/2019,DR01681+,25.48,Oudtshoorn,Oudsthoorn,Garden Route (Eden),6/30/2022,01. Approach Embankment, 157. Mass concrete backfill,U1,1.00,5820.00,m3,5820.00,2,4,1,17.00,2
B0477,OLIFANTS RIVER CAUSEWAY,Bridge,Bridge,11/6/2019,DR01681+,25.48,Oudtshoorn,Oudsthoorn,Garden Route (Eden),6/30/2022,03. Waterway, 207. Clear debris,AS,25.00,790.00,m3,19750.00,1,1,9,46.00,1
B0477,OLIFANTS RIVER CAUSEWAY,Bridge,Bridge,11/6/2019,DR01681+,25.48,Oudtshoorn,Oudsthoorn,Garden Route (Eden),6/30/2022,14. Piers & Columns, 120. Seal cracks,AP,34.00,790.00,m,26860.00,2,4,1,4.00,3
B0477,OLIFANTS RIVER CAUSEWAY,Bridge,Bridge,11/6/2019,DR01681+,25.48,Oudtshoorn,Oudsthoorn,Garden Route (Eden),6/30/2022,21. Miscellaneous Items, 620. Install structure number plate,BU,2.00,5700.00,No,11400.00,2,4,1,9.00,3
B0478,OLIFANTS RIVER CAUSEWAY,Bridge,Bridge,11/5/2019,DR01673+,2.28,Oudtshoorn,Oudsthoorn,Garden Route (Eden),6/30/2022,20. Decks and Slabs, 118. Repair spall (including honeycombing),"S1,S2",10.00,790.00,L,7900.00,2,4,1,13.00,2
B0478,OLIFANTS RIVER CAUSEWAY,Bridge,Bridge,11/5/2019,DR01673+,2.28,Oudtshoorn,Oudsthoorn,Garden Route (Eden),6/30/2022,01. Approach Embankment, 157. Mass concrete backfill,U1,1.00,5820.00,m3,5820.00,2,4,1,17.00,2
B0478,OLIFANTS RIVER CAUSEWAY,Bridge,Bridge,11/5/2019,DR01673+,2.28,Oudtshoorn,Oudsthoorn,Garden Route (Eden),6/30/2022,03. Waterway, 207. Clear debris,AS,450.00,790.00,m3,355500.00,3,4,9,3.00,3
B0478,OLIFANTS RIVER CAUSEWAY,Bridge,Bridge,11/5/2019,DR01673+,2.28,Oudtshoorn,Oudsthoorn,Garden Route (Eden),6/30/2022,10. Kerbs / Sidewalks, 953. Ad-hoc item (describe under Remarks),AS,12.00,1140.00,No,13680.00,2,4,4,29.00,1
B0478,OLIFANTS RIVER CAUSEWAY,Bridge,Bridge,11/5/2019,DR01673+,2.28,Oudtshoorn,Oudsthoorn,Garden Route (Eden),6/30/2022,11. Parapet, 454. New endblocks,S1,1.00,16260.00,No,16260.00,2,4,1,6.00,3
B0478,OLIFANTS RIVER CAUSEWAY,Bridge,Bridge,11/5/2019,DR01673+,2.28,Oudtshoorn,Oudsthoorn,Garden Route (Eden),6/30/2022,11. Parapet, 458. New/repair steel railing,S1,132.00,3280.00,m,432960.00,2,4,1,0.00,3
B0484,Malgas River,Bridge,Bridge,11/18/2019,DR01640,5.61,George,,Garden Route (Eden),6/30/2022,05. Abutment Foundations, 161. Underpinning (describe under Remarks),U1,1.00,81170.00,No,81170.00,3,4,4,5.00,3
B0485,Witte Els River 1,Bridge,Bridge,11/8/2019,DR01599,13.96,George,,Garden Route (Eden),6/30/2022,11. Parapet, 702. Traffic accommodation-Low (< 10 000 vpd),S1,1.00,146090.00,LS,146090.00,4,4,16,11.00,2
B0485,Witte Els River 1,Bridge,Bridge,11/8/2019,DR01599,13.96,George,,Garden Route (Eden),6/30/2022,11. Parapet, 458. New/repair steel railing,S1,15.00,3280.00,m,49200.00,4,4,16,33.00,1
B0485A,Witte Els River 2,Bridge,Bridge,11/8/2019,DR01599,13.91,George,,Garden Route (Eden),6/30/2022,11. Parapet, 458. New/repair steel railing,S1,15.00,3280.00,m,49200.00,3,4,9,18.00,2
B0485A,Witte Els River 2,Bridge,Bridge,11/8/2019,DR01599,13.91,George,,Garden Route (Eden),6/30/2022,11. Parapet, 702. Traffic accommodation-Low (< 10 000 vpd),S1,1.00,146090.00,LS,146090.00,3,4,9,6.00,3
B0485A,Witte Els River 2,Bridge,Bridge,11/8/2019,DR01599,13.91,George,,Garden Route (Eden),6/30/2022,20. Decks and Slabs, 118. Repair spall (including honeycombing),S1,15.00,790.00,L,11850.00,3,4,1,8.00,3
B0485B,Witte Els River 3,Bridge,Bridge,11/8/2019,DR01599,13.20,George,,Garden Route (Eden),6/30/2022,11. Parapet, 458. New/repair steel railing,S1,15.00,3280.00,m,49200.00,3,4,4,8.00,3
B0485B,Witte Els River 3,Bridge,Bridge,11/8/2019,DR01599,13.20,George,,Garden Route (Eden),6/30/2022,11. Parapet, 702. Traffic accommodation-Low (< 10 000 vpd),S1,1.00,146090.00,LS,146090.00,3,4,4,3.00,3
B0488,Brandwag River,Bridge,Bridge,11/6/2019,DR01582,0.55,Mossel Bay,,Garden Route (Eden),6/30/2022,11. Parapet, 702. Traffic accommodation-Low (< 10 000 vpd),AS,1.00,146090.00,LS,146090.00,3,4,16,11.00,2
B0488,Brandwag River,Bridge,Bridge,11/6/2019,DR01582,0.55,Mossel Bay,,Garden Route (Eden),6/30/2022,17. Expansion Joints, 316. Replace pressfit seal with silicone,"BU,AP",30.00,1660.00,m,49800.00,3,4,4,8.00,3
B0488,Brandwag River,Bridge,Bridge,11/6/2019,DR01582,0.55,Mossel Bay,,Garden Route (Eden),6/30/2022,17. Expansion Joints, 203. Clean joint of loose material,"BU,AP",30.00,360.00,m,10800.00,3,4,4,37.00,1
B0488,Brandwag River,Bridge,Bridge,11/6/2019,DR01582,0.55,Mossel Bay,,Garden Route (Eden),6/30/2022,09. Superstructure Drainage, 208. Clear scuppers,AS,10.00,360.00,No,3600.00,3,4,4,111.00,1
B0488,Brandwag River,Bridge,Bridge,11/6/2019,DR01582,0.55,Mossel Bay,,Garden Route (Eden),6/30/2022,15. Bearings, 953. Ad-hoc item (describe under Remarks),"BU,AP",10.00,1140.00,No,11400.00,3,4,9,79.00,1
B0488,Brandwag River,Bridge,Bridge,11/6/2019,DR01582,0.55,Mossel Bay,,Garden Route (Eden),6/30/2022,17. Expansion Joints, 702. Traffic accommodation-Low (< 10 000 vpd),"BU,AP",1.00,146090.00,LS,146090.00,3,4,4,3.00,3
B0488,Brandwag River,Bridge,Bridge,11/6/2019,DR01582,0.55,Mossel Bay,,Garden Route (Eden),6/30/2022,10. Kerbs / Sidewalks, 702. Traffic accommodation-Low (< 10 000 vpd),AS,1.00,146090.00,LS,146090.00,3,4,1,1.00,3
B0488,Brandwag River,Bridge,Bridge,11/6/2019,DR01582,0.55,Mossel Bay,,Garden Route (Eden),6/30/2022,09. Superstructure Drainage, 702. Traffic accommodation-Low (< 10 000 vpd),AS,1.00,146090.00,LS,146090.00,3,4,4,3.00,3
B0488,Brandwag River,Bridge,Bridge,11/6/2019,DR01582,0.55,Mossel Bay,,Garden Route (Eden),6/30/2022,08. Surfacing, 702. Traffic accommodation-Low (< 10 000 vpd),AS,1.00,146090.00,LS,146090.00,3,4,4,3.00,3
B0488,Brandwag River,Bridge,Bridge,11/6/2019,DR01582,0.55,Mossel Bay,,Garden Route (Eden),6/30/2022,08. Surfacing, 502. Resurface or patch,AS,550.00,790.00,m2,434500.00,3,4,4,1.00,3
B0488,Brandwag River,Bridge,Bridge,11/6/2019,DR01582,0.55,Mossel Bay,,Garden Route (Eden),6/30/2022,11. Parapet, 458. New/repair steel railing,AS,70.00,3280.00,m,229600.00,4,4,16,7.00,3
B0488,Brandwag River,Bridge,Bridge,11/6/2019,DR01582,0.55,Mossel Bay,,Garden Route (Eden),6/30/2022,10. Kerbs / Sidewalks, 118. Repair spall (including honeycombing),AS,50.00,790.00,L,39500.00,3,4,1,3.00,3
B0489,GOUKOU RIVER,Bridge,Bridge,11/14/2019,DR01568,48.33,Hessequa,,Garden Route (Eden),6/30/2022,20. Decks and Slabs, 118. Repair spall (including honeycombing),"S1,S6-S8",1000.00,790.00,L,790000.00,2,4,1,0.00,3
B0489,GOUKOU RIVER,Bridge,Bridge,11/14/2019,DR01568,48.33,Hessequa,,Garden Route (Eden),6/30/2022,14. Piers & Columns, 103. Clean concrete surface,AP,500.00,160.00,m2,80000.00,2,4,1,1.00,3
B0489,GOUKOU RIVER,Bridge,Bridge,11/14/2019,DR01568,48.33,Hessequa,,Garden Route (Eden),6/30/2022,14. Piers & Columns, 118. Repair spall (including honeycombing),AP,2000.00,790.00,L,1580000.00,2,4,1,0.00,3
B0489,GOUKOU RIVER,Bridge,Bridge,11/14/2019,DR01568,48.33,Hessequa,,Garden Route (Eden),6/30/2022,14. Piers & Columns, 120. Seal cracks,AP,15.00,790.00,m,11850.00,2,4,1,8.00,3
B0489,GOUKOU RIVER,Bridge,Bridge,11/14/2019,DR01568,48.33,Hessequa,,Garden Route (Eden),6/30/2022,14. Piers & Columns, 654. Access-using scaffold (< 10 m),AP,7.00,4910.00,No,34370.00,2,4,1,3.00,3
B0489,GOUKOU RIVER,Bridge,Bridge,11/14/2019,DR01568,48.33,Hessequa,,Garden Route (Eden),6/30/2022,14. Piers & Columns, 703. Traffic accommodation-Medium (10 000 - 40 000 vpd),AP,1.00,243470.00,LS,243470.00,2,4,1,0.00,3
B0489,GOUKOU RIVER,Bridge,Bridge,11/14/2019,DR01568,48.33,Hessequa,,Garden Route (Eden),6/30/2022,17. Expansion Joints, 203. Clean joint of loose material,"BU,AP",80.00,360.00,m,28800.00,2,4,9,31.00,1
B0489,GOUKOU RIVER,Bridge,Bridge,11/14/2019,DR01568,48.33,Hessequa,,Garden Route (Eden),6/30/2022,17. Expansion Joints, 301. Install silicon/bituminous seal,"BU,AP",80.00,1290.00,m,103200.00,2,4,9,9.00,3
B0489,GOUKOU RIVER,Bridge,Bridge,11/14/2019,DR01568,48.33,Hessequa,,Garden Route (Eden),6/30/2022,17. Expansion Joints, 703. Traffic accommodation-Medium (10 000 - 40 000 vpd),"BU,AP",1.00,243470.00,LS,243470.00,2,4,9,4.00,3
B0489,GOUKOU RIVER,Bridge,Bridge,11/14/2019,DR01568,48.33,Hessequa,,Garden Route (Eden),6/30/2022,20. Decks and Slabs, 103. Clean concrete surface,"S1,S6-S8",400.00,160.00,m2,64000.00,2,4,1,2.00,3
B0489,GOUKOU RIVER,Bridge,Bridge,11/14/2019,DR01568,48.33,Hessequa,,Garden Route (Eden),6/30/2022,20. Decks and Slabs, 654. Access-using scaffold (< 10 m),"S1,S6-S8",5.00,4910.00,No,24550.00,2,4,1,4.00,3
B0489,GOUKOU RIVER,Bridge,Bridge,11/14/2019,DR01568,48.33,Hessequa,,Garden Route (Eden),6/30/2022,20. Decks and Slabs, 703. Traffic accommodation-Medium (10 000 - 40 000 vpd),"S1,S6-S8",1.00,243470.00,LS,243470.00,2,4,1,0.00,3
B0489,GOUKOU RIVER,Bridge,Bridge,11/14/2019,DR01568,48.33,Hessequa,,Garden Route (Eden),6/30/2022,09. Superstructure Drainage, 354. Repair scuppers,AS,8.00,3280.00,No,26240.00,2,4,4,15.00,2
B0489,GOUKOU RIVER,Bridge,Bridge,11/14/2019,DR01568,48.33,Hessequa,,Garden Route (Eden),6/30/2022,14. Piers & Columns, 101. Apply protective coating,AP,500.00,510.00,m2,255000.00,2,4,1,0.00,3
B0489,GOUKOU RIVER,Bridge,Bridge,11/14/2019,DR01568,48.33,Hessequa,,Garden Route (Eden),6/30/2022,20. Decks and Slabs, 101. Apply protective coating,"S1,S6-S8",400.00,510.00,m2,204000.00,2,4,1,0.00,3
B0489,GOUKOU RIVER,Bridge,Bridge,11/14/2019,DR01568,48.33,Hessequa,,Garden Route (Eden),6/30/2022,08. Surfacing, 501. Crack seal (asphalt),AS,45.00,80.00,m,3600.00,2,4,4,111.00,1
B0489,GOUKOU RIVER,Bridge,Bridge,11/14/2019,DR01568,48.33,Hessequa,,Garden Route (Eden),6/30/2022,11. Parapet, 703. Traffic accommodation-Medium (10 000 - 40 000 vpd),AS,1.00,243470.00,LS,243470.00,2,4,4,2.00,3
B0489,GOUKOU RIVER,Bridge,Bridge,11/14/2019,DR01568,48.33,Hessequa,,Garden Route (Eden),6/30/2022,03. Waterway, 404. Remove trees (girth < 500 mm),AS,20.00,790.00,No,15800.00,2,4,4,25.00,1
B0489,GOUKOU RIVER,Bridge,Bridge,11/14/2019,DR01568,48.33,Hessequa,,Garden Route (Eden),6/30/2022,09. Superstructure Drainage, 654. Access-using scaffold (< 10 m),AS,4.00,4910.00,No,19640.00,2,4,4,20.00,2
B0489,GOUKOU RIVER,Bridge,Bridge,11/14/2019,DR01568,48.33,Hessequa,,Garden Route (Eden),6/30/2022,08. Surfacing, 207. Clear debris,AS,5.00,790.00,m3,3950.00,2,4,4,101.00,1
B0489,GOUKOU RIVER,Bridge,Bridge,11/14/2019,DR01568,48.33,Hessequa,,Garden Route (Eden),6/30/2022,08. Surfacing, 502. Resurface or patch,AS,50.00,790.00,m2,39500.00,2,4,4,10.00,3
