Structure Number,Structure Name,Asset Class,Structure Type,Inventory Date,Road No.,km,Municipality,Maintenance Region,Magisterial District,Analysis Date,Inspection Item,Activity,Position,Qty Budget,Unit Cost,Unit,Cost,U,Adj. U,RMax2,B/C,WorkYear
B0438,BRIDGE OVER SKILPADSKOP RIVER,Bridge,Bridge,11/13/2019,DR02370,16.79,Beaufort West,Central Karoo,Central Karoo,6/30/2022,03. Waterway, 207. Clear debris,S1,2,790,m3,1580,1,1,1,63,1
B0438,BRIDGE OVER SKILPADSKOP RIVER,Bridge,Bridge,11/13/2019,DR02370,16.79,Beaufort West,Central Karoo,Central Karoo,6/30/2022,03. Waterway, 151. Backfill scour damage (earth),S1,6,1010,m3,6060,1,1,1,17,2
B0438,BRIDGE OVER SKILPADSKOP RIVER,Bridge,Bridge,11/13/2019,DR02370,16.79,Beaufort West,Central Karoo,Central Karoo,6/30/2022,21. Miscellaneous Items, 620. Install structure number plate,S1,2,5700,No,11400,1,1,1,9,3
B0443,BRIDGE OVER HANS RIVER,Bridge,Bridge,11/13/2019,DR02307,8.59,Beaufort West,Central Karoo,Central Karoo,6/30/2022,03. Waterway, 404. Remove trees (girth < 500 mm),AS,20,790,No,15800,1,1,9,57,1
B0443,BRIDGE OVER HANS RIVER,Bridge,Bridge,11/13/2019,DR02307,8.59,Beaufort West,Central Karoo,Central Karoo,6/30/2022,07. Wing/ Retaining Walls, 120. Seal cracks,BU,4,790,m,3160,2,4,9,285,1
B0443,BRIDGE OVER HANS RIVER,Bridge,Bridge,11/13/2019,DR02307,8.59,Beaufort West,Central Karoo,Central Karoo,6/30/2022,11. Parapet, 118. Repair spall (including honeycombing),AS,4,790,L,3160,2,4,9,285,1
B0443,BRIDGE OVER HANS RIVER,Bridge,Bridge,11/13/2019,DR02307,8.59,Beaufort West,Central Karoo,Central Karoo,6/30/2022,11. Parapet, 465. Repair/replace handrail posts,AS,4,1660,No,6640,3,4,9,136,1
B0443,BRIDGE OVER HANS RIVER,Bridge,Bridge,11/13/2019,DR02307,8.59,Beaufort West,Central Karoo,Central Karoo,6/30/2022,14. Piers & Columns, 120. Seal cracks,AP,3,790,m,2370,2,4,1,42,1
B0443,BRIDGE OVER HANS RIVER,Bridge,Bridge,11/13/2019,DR02307,8.59,Beaufort West,Central Karoo,Central Karoo,6/30/2022,17. Expansion Joints, 313. Repair concrete nosing,"BU,AP",53.9,3280,m,176792,2,4,9,5,3
B0443,BRIDGE OVER HANS RIVER,Bridge,Bridge,11/13/2019,DR02307,8.59,Beaufort West,Central Karoo,Central Karoo,6/30/2022,20. Decks and Slabs, 118. Repair spall (including honeycombing),AS,2,790,L,1580,3,4,9,570,1
B0473,DONGASKLOOF RIVER,Bridge,Bridge,11/20/2019,DR01688,19.53,Kannaland,,Garden Route (Eden),6/30/2022,06. Abutments, 120. Seal cracks,BU,10,790,m,7900,2,4,4,51,1
B0473,DONGASKLOOF RIVER,Bridge,Bridge,11/20/2019,DR01688,19.53,Kannaland,,Garden Route (Eden),6/30/2022,09. Superstructure Drainage, 208. Clear scuppers,S1,4,360,No,1440,2,4,1,69,1
B0473,DONGASKLOOF RIVER,Bridge,Bridge,11/20/2019,DR01688,19.53,Kannaland,,Garden Route (Eden),6/30/2022,07. Wing/ Retaining Walls, 120. Seal cracks,U1,2,790,m,1580,2,4,1,63,1
B0473,DONGASKLOOF RIVER,Bridge,Bridge,11/20/2019,DR01688,19.53,Kannaland,,Garden Route (Eden),6/30/2022,03. Waterway, 207. Clear debris,S1,4,790,m3,3160,3,4,1,32,1
B0473,DONGASKLOOF RIVER,Bridge,Bridge,11/20/2019,DR01688,19.53,Kannaland,,Garden Route (Eden),6/30/2022,02. Guardrail, 455. New guardrail (single and double),BU,80,1010,m,80800,3,4,4,5,3
B0473,DONGASKLOOF RIVER,Bridge,Bridge,11/20/2019,DR01688,19.53,Kannaland,,Garden Route (Eden),6/30/2022,04. Approach Embankment Protection Works, 156. Gabion (mattresses and boxes),BU,20,3280,m3,65600,4,4,4,6,3
B0477,OLIFANTS RIVER CAUSEWAY,Bridge,Bridge,11/6/2019,DR01681+,25.48,Oudtshoorn,Oudsthoorn,Garden Route (Eden),6/30/2022,01. Approach Embankment, 157. Mass concrete backfill,U1,1,5820,m3,5820,2,4,1,17,2
B0477,OLIFANTS RIVER CAUSEWAY,Bridge,Bridge,11/6/2019,DR01681+,25.48,Oudtshoorn,Oudsthoorn,Garden Route (Eden),6/30/2022,03. Waterway, 207. Clear debris,AS,25,790,m3,19750,1,1,9,46,1
B0477,OLIFANTS RIVER CAUSEWAY,Bridge,Bridge,11/6/2019,DR01681+,25.48,Oudtshoorn,Oudsthoorn,Garden Route (Eden),6/30/2022,14. Piers & Columns, 120. Seal cracks,AP,34,790,m,26860,2,4,1,4,3
B0477,OLIFANTS RIVER CAUSEWAY,Bridge,Bridge,11/6/2019,DR01681+,25.48,Oudtshoorn,Oudsthoorn,Garden Route (Eden),6/30/2022,21. Miscellaneous Items, 620. Install structure number plate,BU,2,5700,No,11400,2,4,1,9,3
B0478,OLIFANTS RIVER CAUSEWAY,Bridge,Bridge,11/5/2019,DR01673+,2.28,Oudtshoorn,Oudsthoorn,Garden Route (Eden),6/30/2022,20. Decks and Slabs, 118. Repair spall (including honeycombing),"S1,S2",10,790,L,7900,2,4,1,13,2
B0478,OLIFANTS RIVER CAUSEWAY,Bridge,Bridge,11/5/2019,DR01673+,2.28,Oudtshoorn,Oudsthoorn,Garden Route (Eden),6/30/2022,01. Approach Embankment, 157. Mass concrete backfill,U1,1,5820,m3,5820,2,4,1,17,2
B0478,OLIFANTS RIVER CAUSEWAY,Bridge,Bridge,11/5/2019,DR01673+,2.28,Oudtshoorn,Oudsthoorn,Garden Route (Eden),6/30/2022,03. Waterway, 207. Clear debris,AS,450,790,m3,355500,3,4,9,3,3
B0478,OLIFANTS RIVER CAUSEWAY,Bridge,Bridge,11/5/2019,DR01673+,2.28,Oudtshoorn,Oudsthoorn,Garden Route (Eden),6/30/2022,10. Kerbs / Sidewalks, 953. Ad-hoc item (describe under Remarks),AS,12,1140,No,13680,2,4,4,29,1
B0478,OLIFANTS RIVER CAUSEWAY,Bridge,Bridge,11/5/2019,DR01673+,2.28,Oudtshoorn,Oudsthoorn,Garden Route (Eden),6/30/2022,11. Parapet, 454. New endblocks,S1,1,16260,No,16260,2,4,1,6,3
B0478,OLIFANTS RIVER CAUSEWAY,Bridge,Bridge,11/5/2019,DR01673+,2.28,Oudtshoorn,Oudsthoorn,Garden Route (Eden),6/30/2022,11. Parapet, 458. New/repair steel railing,S1,132,3280,m,432960,2,4,1,0,3
B0484,Malgas River,Bridge,Bridge,11/18/2019,DR01640,5.61,George,,Garden Route (Eden),6/30/2022,05. Abutment Foundations, 161. Underpinning (describe under Remarks),U1,1,81170,No,81170,3,4,4,5,3
B0485,Witte Els River 1,Bridge,Bridge,11/8/2019,DR01599,13.96,George,,Garden Route (Eden),6/30/2022,11. Parapet, 702. Traffic accommodation-Low (< 10 000 vpd),S1,1,146090,LS,146090,4,4,16,11,2
B0485,Witte Els River 1,Bridge,Bridge,11/8/2019,DR01599,13.96,George,,Garden Route (Eden),6/30/2022,11. Parapet, 458. New/repair steel railing,S1,15,3280,m,49200,4,4,16,33,1
B0485A,Witte Els River 2,Bridge,Bridge,11/8/2019,DR01599,13.91,George,,Garden Route (Eden),6/30/2022,11. Parapet, 458. New/repair steel railing,S1,15,3280,m,49200,3,4,9,18,2
B0485A,Witte Els River 2,Bridge,Bridge,11/8/2019,DR01599,13.91,George,,Garden Route (Eden),6/30/2022,11. Parapet, 702. Traffic accommodation-Low (< 10 000 vpd),S1,1,146090,LS,146090,3,4,9,6,3
B0485A,Witte Els River 2,Bridge,Bridge,11/8/2019,DR01599,13.91,George,,Garden Route (Eden),6/30/2022,20. Decks and Slabs, 118. Repair spall (including honeycombing),S1,15,790,L,11850,3,4,1,8,3
B0485B,Witte Els River 3,Bridge,Bridge,11/8/2019,DR01599,13.2,George,,Garden Route (Eden),6/30/2022,11. Parapet, 458. New/repair steel railing,S1,15,3280,m,49200,3,4,4,8,3
B0485B,Witte Els River 3,Bridge,Bridge,11/8/2019,DR01599,13.2,George,,Garden Route (Eden),6/30/2022,11. Parapet, 702. Traffic accommodation-Low (< 10 000 vpd),S1,1,146090,LS,146090,3,4,4,3,3
B0488,Brandwag River,Bridge,Bridge,11/6/2019,DR01582,0.55,Mossel Bay,,Garden Route (Eden),6/30/2022,11. Parapet, 702. Traffic accommodation-Low (< 10 000 vpd),AS,1,146090,LS,146090,3,4,16,11,2
B0488,Brandwag River,Bridge,Bridge,11/6/2019,DR01582,0.55,Mossel Bay,,Garden Route (Eden),6/30/2022,17. Expansion Joints, 316. Replace pressfit seal with silicone,"BU,AP",30,1660,m,49800,3,4,4,8,3
B0488,Brandwag River,Bridge,Bridge,11/6/2019,DR01582,0.55,Mossel Bay,,Garden Route (Eden),6/30/2022,17. Expansion Joints, 203. Clean joint of loose material,"BU,AP",30,360,m,10800,3,4,4,37,1
B0488,Brandwag River,Bridge,Bridge,11/6/2019,DR01582,0.55,Mossel Bay,,Garden Route (Eden),6/30/2022,09. Superstructure Drainage, 208. Clear scuppers,AS,10,360,No,3600,3,4,4,111,1
B0488,Brandwag River,Bridge,Bridge,11/6/2019,DR01582,0.55,Mossel Bay,,Garden Route (Eden),6/30/2022,15. Bearings, 953. Ad-hoc item (describe under Remarks),"BU,AP",10,1140,No,11400,3,4,9,79,1
B0488,Brandwag River,Bridge,Bridge,11/6/2019,DR01582,0.55,Mossel Bay,,Garden Route (Eden),6/30/2022,17. Expansion Joints, 702. Traffic accommodation-Low (< 10 000 vpd),"BU,AP",1,146090,LS,146090,3,4,4,3,3
B0488,Brandwag River,Bridge,Bridge,11/6/2019,DR01582,0.55,Mossel Bay,,Garden Route (Eden),6/30/2022,10. Kerbs / Sidewalks, 702. Traffic accommodation-Low (< 10 000 vpd),AS,1,146090,LS,146090,3,4,1,1,3
B0488,Brandwag River,Bridge,Bridge,11/6/2019,DR01582,0.55,Mossel Bay,,Garden Route (Eden),6/30/2022,09. Superstructure Drainage, 702. Traffic accommodation-Low (< 10 000 vpd),AS,1,146090,LS,146090,3,4,4,3,3
B0488,Brandwag River,Bridge,Bridge,11/6/2019,DR01582,0.55,Mossel Bay,,Garden Route (Eden),6/30/2022,08. Surfacing, 702. Traffic accommodation-Low (< 10 000 vpd),AS,1,146090,LS,146090,3,4,4,3,3
B0488,Brandwag River,Bridge,Bridge,11/6/2019,DR01582,0.55,Mossel Bay,,Garden Route (Eden),6/30/2022,08. Surfacing, 502. Resurface or patch,AS,550,790,m2,434500,3,4,4,1,3
B0488,Brandwag River,Bridge,Bridge,11/6/2019,DR01582,0.55,Mossel Bay,,Garden Route (Eden),6/30/2022,11. Parapet, 458. New/repair steel railing,AS,70,3280,m,229600,4,4,16,7,3
B0488,Brandwag River,Bridge,Bridge,11/6/2019,DR01582,0.55,Mossel Bay,,Garden Route (Eden),6/30/2022,10. Kerbs / Sidewalks, 118. Repair spall (including honeycombing),AS,50,790,L,39500,3,4,1,3,3
B0489,GOUKOU RIVER,Bridge,Bridge,11/14/2019,DR01568,48.33,Hessequa,,Garden Route (Eden),6/30/2022,20. Decks and Slabs, 118. Repair spall (including honeycombing),"S1,S6-S8",1000,790,L,790000,2,4,1,0,3
B0489,GOUKOU RIVER,Bridge,Bridge,11/14/2019,DR01568,48.33,Hessequa,,Garden Route (Eden),6/30/2022,14. Piers & Columns, 103. Clean concrete surface,AP,500,160,m2,80000,2,4,1,1,3
B0489,GOUKOU RIVER,Bridge,Bridge,11/14/2019,DR01568,48.33,Hessequa,,Garden Route (Eden),6/30/2022,14. Piers & Columns, 118. Repair spall (including honeycombing),AP,2000,790,L,1580000,2,4,1,0,3
B0489,GOUKOU RIVER,Bridge,Bridge,11/14/2019,DR01568,48.33,Hessequa,,Garden Route (Eden),6/30/2022,14. Piers & Columns, 120. Seal cracks,AP,15,790,m,11850,2,4,1,8,3
B0489,GOUKOU RIVER,Bridge,Bridge,11/14/2019,DR01568,48.33,Hessequa,,Garden Route (Eden),6/30/2022,14. Piers & Columns, 654. Access-using scaffold (< 10 m),AP,7,4910,No,34370,2,4,1,3,3
B0489,GOUKOU RIVER,Bridge,Bridge,11/14/2019,DR01568,48.33,Hessequa,,Garden Route (Eden),6/30/2022,14. Piers & Columns, 703. Traffic accommodation-Medium (10 000 - 40 000 vpd),AP,1,243470,LS,243470,2,4,1,0,3
B0489,GOUKOU RIVER,Bridge,Bridge,11/14/2019,DR01568,48.33,Hessequa,,Garden Route (Eden),6/30/2022,17. Expansion Joints, 203. Clean joint of loose material,"BU,AP",80,360,m,28800,2,4,9,31,1
B0489,GOUKOU RIVER,Bridge,Bridge,11/14/2019,DR01568,48.33,Hessequa,,Garden Route (Eden),6/30/2022,17. Expansion Joints, 301. Install silicon/bituminous seal,"BU,AP",80,1290,m,103200,2,4,9,9,3
B0489,GOUKOU RIVER,Bridge,Bridge,11/14/2019,DR01568,48.33,Hessequa,,Garden Route (Eden),6/30/2022,17. Expansion Joints, 703. Traffic accommodation-Medium (10 000 - 40 000 vpd),"BU,AP",1,243470,LS,243470,2,4,9,4,3
B0489,GOUKOU RIVER,Bridge,Bridge,11/14/2019,DR01568,48.33,Hessequa,,Garden Route (Eden),6/30/2022,20. Decks and Slabs, 103. Clean concrete surface,"S1,S6-S8",400,160,m2,64000,2,4,1,2,3
B0489,GOUKOU RIVER,Bridge,Bridge,11/14/2019,DR01568,48.33,Hessequa,,Garden Route (Eden),6/30/2022,20. Decks and Slabs, 654. Access-using scaffold (< 10 m),"S1,S6-S8",5,4910,No,24550,2,4,1,4,3
B0489,GOUKOU RIVER,Bridge,Bridge,11/14/2019,DR01568,48.33,Hessequa,,Garden Route (Eden),6/30/2022,20. Decks and Slabs, 703. Traffic accommodation-Medium (10 000 - 40 000 vpd),"S1,S6-S8",1,243470,LS,243470,2,4,1,0,3
B0489,GOUKOU RIVER,Bridge,Bridge,11/14/2019,DR01568,48.33,Hessequa,,Garden Route (Eden),6/30/2022,09. Superstructure Drainage, 354. Repair scuppers,AS,8,3280,No,26240,2,4,4,15,2
B0489,GOUKOU RIVER,Bridge,Bridge,11/14/2019,DR01568,48.33,Hessequa,,Garden Route (Eden),6/30/2022,14. Piers & Columns, 101. Apply protective coating,AP,500,510,m2,255000,2,4,1,0,3
B0489,GOUKOU RIVER,Bridge,Bridge,11/14/2019,DR01568,48.33,Hessequa,,Garden Route (Eden),6/30/2022,20. Decks and Slabs, 101. Apply protective coating,"S1,S6-S8",400,510,m2,204000,2,4,1,0,3
B0489,GOUKOU RIVER,Bridge,Bridge,11/14/2019,DR01568,48.33,Hessequa,,Garden Route (Eden),6/30/2022,08. Surfacing, 501. Crack seal (asphalt),AS,45,80,m,3600,2,4,4,111,1
B0489,GOUKOU RIVER,Bridge,Bridge,11/14/2019,DR01568,48.33,Hessequa,,Garden Route (Eden),6/30/2022,11. Parapet, 703. Traffic accommodation-Medium (10 000 - 40 000 vpd),AS,1,243470,LS,243470,2,4,4,2,3
B0489,GOUKOU RIVER,Bridge,Bridge,11/14/2019,DR01568,48.33,Hessequa,,Garden Route (Eden),6/30/2022,03. Waterway, 404. Remove trees (girth < 500 mm),AS,20,790,No,15800,2,4,4,25,1
B0489,GOUKOU RIVER,Bridge,Bridge,11/14/2019,DR01568,48.33,Hessequa,,Garden Route (Eden),6/30/2022,09. Superstructure Drainage, 654. Access-using scaffold (< 10 m),AS,4,4910,No,19640,2,4,4,20,2
B0489,GOUKOU RIVER,Bridge,Bridge,11/14/2019,DR01568,48.33,Hessequa,,Garden Route (Eden),6/30/2022,08. Surfacing, 207. Clear debris,AS,5,790,m3,3950,2,4,4,101,1
B0489,GOUKOU RIVER,Bridge,Bridge,11/14/2019,DR01568,48.33,Hessequa,,Garden Route (Eden),6/30/2022,08. Surfacing, 502. Resurface or patch,AS,50,790,m2,39500,2,4,4,10,3
B0489,GOUKOU RIVER,Bridge,Bridge,11/14/2019,DR01568,48.33,Hessequa,,Garden Route (Eden),6/30/2022,08. Surfacing, 703. Traffic accommodation-Medium (10 000 - 40 000 vpd),AS,1,243470,LS,243470,2,4,4,2,3
B0489,GOUKOU RIVER,Bridge,Bridge,11/14/2019,DR01568,48.33,Hessequa,,Garden Route (Eden),6/30/2022,09. Superstructure Drainage, 208. Clear scuppers,AS,16,360,No,5760,2,4,4,69,1
B0489,GOUKOU RIVER,Bridge,Bridge,11/14/2019,DR01568,48.33,Hessequa,,Garden Route (Eden),6/30/2022,09. Superstructure Drainage, 653. Access-using scaffold (> 10 m),AS,4,8090,No,32360,2,4,4,12,2
B0489,GOUKOU RIVER,Bridge,Bridge,11/14/2019,DR01568,48.33,Hessequa,,Garden Route (Eden),6/30/2022,03. Waterway, 207. Clear debris,AS,300,790,m3,237000,2,4,4,2,3
B0489,GOUKOU RIVER,Bridge,Bridge,11/14/2019,DR01568,48.33,Hessequa,,Garden Route (Eden),6/30/2022,11. Parapet, 118. Repair spall (including honeycombing),AS,400,790,L,316000,2,4,4,1,3
B0489,GOUKOU RIVER,Bridge,Bridge,11/14/2019,DR01568,48.33,Hessequa,,Garden Route (Eden),6/30/2022,09. Superstructure Drainage, 703. Traffic accommodation-Medium (10 000 - 40 000 vpd),AS,1,243470,LS,243470,2,4,4,2,3
B0489,GOUKOU RIVER,Bridge,Bridge,11/14/2019,DR01568,48.33,Hessequa,,Garden Route (Eden),6/30/2022,11. Parapet, 101. Apply protective coating,AS,25,510,m2,12750,2,4,4,31,1
B0489,GOUKOU RIVER,Bridge,Bridge,11/14/2019,DR01568,48.33,Hessequa,,Garden Route (Eden),6/30/2022,11. Parapet, 103. Clean concrete surface,AS,20,160,m2,3200,2,4,4,125,1
